TY-2026-000001.json | top=0 | zones_reco=0
TY-2026-000002.json | top=0 | zones_reco=0
TY-2026-000003.json | top=13 | zones_reco=13
TY-2026-000004.json | top=15 | zones_reco=15
TY-2026-000005.json | top=16 | zones_reco=16
TY-2026-000006.json | top=17 | zones_reco=17
TY-2026-000007.json | top=17 | zones_reco=17
TY-2026-000008.json | top=17 | zones_reco=17
TY-2026-000009.json | top=16 | zones_reco=16
TY-2026-000010.json | top=15 | zones_reco=15
TY-2026-000011.json | top=12 | zones_reco=12
TY-2026-000012.json | top=12 | zones_reco=12
TY-2026-000013.json | top=15 | zones_reco=15
TY-2026-000014.json | top=12 | zones_reco=12
TY-2026-000015.json | top=12 | zones_reco=12
TY-2026-000016.json | top=12 | zones_reco=12
TY-2026-000017.json | top=12 | zones_reco=12
TY-2026-000018.json | top=12 | zones_reco=12
TY-2026-000019.json | top=12 | zones_reco=12
